% Fig xc yc angle_1 angle_2 angle_3 angle_4
109 122.48 46.407 414.11 466.89 142.78 68.058
110 122.5 44.5 413.93 470.16 141.48 67.865
130 62.5 107.7 374.45 449.02 169.03 104.65
133 63 105.39 375.87 449 168.68 104.79
174 107 121 373.72 437.84 169.82 93.013
175 137.5 111.7 373.95 438.56 167.14 88.838
176 99.885 47.885 375.94 419.24 495 80.879
176 122.97 40.839 2.2906 484.17 164.26 121.19
176 137 111.5 375.1 438.28 174.61 87.589
177 122.5 39.7 377.57 444.55 161.88 97.696
178 100 46 378.43 451.4 163.61 100.25
